date,rating,userName,review,title,isEdited,app_name,app_id,developerResponse
2021-01-25 03:26:48,5,hayahay87,"I have received a notification about a leaked in regards to our information that we have saved on this app. Can you please verify? I am did saved my credit card on file for a fast check-out and now, I am concerned about this leak. 

I have frozen my credit card, also.. I can’t login to my Toast account. I get a wrong password notice. I have tried contacting your department on this matter and other, but I can never get a hold of anyone. I asked a question and was answered with a question...",!! Our information has been leaked!!,False,toast-takeout-delivery,1362180579,
2020-03-07 15:39:24,4,SiWFty,"Decent App. Use it every day, but I have two problems with it:

1) Setting up Payment- there seems to be no way to set up a new payment option (new credit card) without first trying to purchase something. If you go to your personal profile, you can see your payment options, but there’s no way to edit them! What the...? You can delete them, just can’t add or edit. Sooo...you order something, then click payment options, THEN you can add a different card if you want. Not easy in a hands free world when I’m driving to work, approaching my garage and want to quickly place my order before I park and head to the coffee shop. What am I missing???

2) someone recently gave me a gift certificate to that favorite coffee shop mentioned in 1) above. On the back of the gift card, it’s says “powered by Toast”, and there’s even a scannable barcode. But guess what? there’s no way to load the gift card into toast. Soooo....while I have this cool app, and I have this gift card to my favorite coffee shop, all powered by TOAST, I still pay for coffee at my favorite coffee shop with my old credit card, and I’ve got 50 bucks sitting on a gift card I don’t use because my coffee is all paid for (on my old card) when I get there. Uggh!",How to Pay?,False,toast-takeout-delivery,1362180579,
2021-08-22 17:40:49,1,Champion.#2,"A restaurant I was considering uses “ToastTab”. So I click the link to place an order. 

There’s no FAQ or any information about “ToastTab”, or how it works prior to placing an order. You’re expected to blindly create an account and then (somehow?) set up payment. But I don’t really know because I can’t learn about this product before using. 
So I set up an account using a throwaway email address. (I had little choice). There’s still almost nothing listed to learn about this service. They have a section called “Payment Options” and it says “No saved cards”. That makes sense because I have yet to place an order. So I click that section and …nothing happens. A little arrow turns as if a drop down box was meant to appear or something but that’s it.
Sorry, not using “ToastTab”. I have no idea what they’re about and they offer almost zero educational on boarding assistance or FAQ. Feels clunky. While DoorDash and others are controversial for taking a large cut of the restaurants’ revenue, at least those apps are flexible, modern and allow the consumer (me) to feel like I have some control over the situation.",Good luck if you’re a restaurant using this service …,False,toast-takeout-delivery,1362180579,
2020-09-05 00:12:30,2,Jackseriouslythey’realltaken?,"There’s just way too much friction in the account creation and checkout process. The app somehow breaks iOS’s autofill capabilities, so I have to manually type in my name and contact info. Can’t you just use the native frameworks? Then, plenty of other e-commerce apps are fine with just using email address verification for authentication, but not this one, so I had to create a password. A password? What year is this?? Then, at checkout, there’s no Apple Pay support, and again, it breaks autofill so I can’t have iOS fill in my credit card details. And there’s not even an option to use the camera to scan in my credit card info. So, I have to type that, too. All of this means there’s a serious amount of friction involved in placing an order. Surely Toast Tab wants to reduce this friction? They must have a high rate of  abandoned carts. It’s a super hard time for restaurants right now—fixing these simple issues would make things better for everyone involved!",No Apple Pay and breaks auto fill? So much friction!,False,toast-takeout-delivery,1362180579,
2021-02-15 02:41:38,1,juliaaaatee,"I really wanted to like this app, in order to better support restaurants while we’re under lockdown. But this app is janky & there is NO SUPPORT for customers. They outsource delivery with DoorDash, at least in my area, so if you have any issues with your delivery.... you’re stuck. (Since you don’t get DoorDash support.) And even worse, they put the onus on the restaurant for all issues. You can’t even contact Toast – like, I haven’t even been able to find social accounts. When my order didn’t show up tonight, I had to call the restaurant and the poor staff had to grab their manager to figure out a solution (on Valentine’s Day of all days, suuuper busy). They were kind enough to place the order again, but no idea whether the restaurant will get reimbursed or have to eat the cost of the 1st order. In which case, we both would’ve been better off using another food delivery service, even if they take a bigger cut....",Potential but customers get screwed,False,toast-takeout-delivery,1362180579,
2020-05-30 17:48:37,1,Tyria,"I only got this app because the one restaurant I order takeout from uses this service. I had been going to the restaurant’s Instagram page and using the link in their bio every time I ordered but then thought the app might make it easier and faster. Nope. When I search for the restaurant by name, the app tells me it doesn’t exist. Even after I logged in and it shows me my previous orders it still can’t find that restaurant. And since I live more than a few miles from it, and it defaults to just showing me restaurants near me, it won’t show up there either. I can put in the restaurant’s address and the app finally deigns to acknowledge it exists, but that’s a pain to do every time I want to order something, since there’s no way to favorite a restaurant or anything to make it quick to get to. Really, really clumsy design. I won’t be using this app. My circuitous route of going through Instagram is actually easier.",Poorly designed,False,toast-takeout-delivery,1362180579,
2020-09-07 16:02:07,1,Christine from Boston,"I will never be using this app again for delivery.  I placed an order through the app for delivery.  After waiting 2 hours I called the restaurant for a status update, they told me that it was sitting on their counter and that no one picked it up.  I then called Door Dash because that is who Toast partners with for deliveries.  I was on hold for an hour with Door Dash and they finally told me that Toast never sent the order through for delivery, so I would need to call them.  
I then called Toast directly and was told they couldn’t help me because I didn’t work for the restaurant and that I would need the restaurant manager to call Toast directly for my issue.  In the meantime Toast has marked this order as “complete” and I am still out my money and have not received any food.  They are unable to cancel the order or refund me or anything. 
This app is garbage and the customer service is useless.",Useless if your order goes wrong,False,toast-takeout-delivery,1362180579,
2021-03-21 00:43:12,1,Xoxo79,"This app is such a mess. Two restaurants right nextdoor to each other—one available for delivery, the other only take-out. Why? They are the same distance from our home. Other CONSTANT issues is that restaurants think they have delivery through this app, advertise it on their sites, yelp, google, but when you look it on toast it only offers them on take-out. And this isn’t about distance—one of the restaurants is about 1 mile from my home and walkable. I don’t even understand what the purpose of this app is or how it can compete when there are currently 4 restaurants they deliver (we live in the city, surrounded by restaurants) and we can get just about anything from other apps. I had to write this for restaurant owners because I think those are who toast is really hurting by making them believe they’ve got their delivery covered when they don’t. It’s bad for local businesses.",Terrible,False,toast-takeout-delivery,1362180579,
2020-11-01 14:57:47,1,Mjharris5,"This app will automatically “correct” your address when ordering to be wherever your phone GPS says you are. My orders regularly get delivered to the wrong address, causing frustration for me and the small businesses I’m trying to support. Most recently my $68 order needed to be remade and sent since it went down the street from me. The restaurant owner was understandably frustrated because they are out that money, and said when they contacted Toast, they were told they needed to have their customers turn off their location. Seems like a terrible solution. Anyhow, I’ll probably still use the app because my fave restaurants offer discount codes. But I’ll have to call the restaurants to verify my address after I order. Wish they’d fix that as it’s inconvenient for users and super unfair to restaurants who have to absorb those extra costs for Toasts mistakes!",Autocorrects addresses,False,toast-takeout-delivery,1362180579,
2021-09-17 02:25:09,1,the hacklist,Ordered 3 drinks got none late delivery can only contact the store directly which will eventually pose a problem and can only receive refunds on incorrect orders from the store. Was still completed by doordash on the receipt and cost nearly 15$ for just those 3 drinks its far too much headache for not enough efficiency I believe stores are not accurately updating their accounts as well. My overall is a zero for lack of completion and most platforms such as these lack competency so I can go by the fact this was still technically a doordash delivery on a toast app I can’t see myself breaking the chains of Ubereats/postmates or grubhub and doordash. Unfortunately the bulk of my order was not delivered and took an hour to complete though it’s under two mile distance.  In concept a food delivery app is nice but they all fail to complete what they promise with lack of efficiency or awareness.,First order fails,False,toast-takeout-delivery,1362180579,
