isEdited,review,developerResponse,date,rating,title,userName,app_name,app_id
False,"I’ve been using Seemless/GrubHub for years and never had a problem- until the other night.  In NYC this past Tuesday night it was raining. When the whether is bad you kinda expect a delay in food delivery, but this one took the case. No only did the delivery guy claim to have delivered my food, he refused to answer the phone for me And the restaurant he works for. After all the calling back and forth, it’s now 11 p.m. and I knew I wouldn’t be able to get such healthy food at such an hour. So I decided to re-order the food and went to the restaurant to pick it up and paid cash.
I told the restaurant to take the $$ for my order out of his pay to make sure He didn’t get away with it. At least I was reimbursed for the order I Never received.... who would think about doing such a thing?
Besides, it’s Not like he got into an accident, maybe skidding in the water because of the rain... (yes, that happened before), but at least I got my food from a restaurant I always order from, so I knew my delivery guy on that run... This was the 1st time I ordered from this deli, but I see I’ll have to pick up my food from now on from this one.
Otherwise, I love the convenience of ordering food <3.","{'id': 11476589, 'body': 'Hey Cachae7. We are so sorry to hear about your experience on our App. We would very much like an opportunity to rectify this situation. Please reach out to a member of our Customer Care team at 877-585-1085. Thank you.', 'modified': '2019-10-25T21:22:52Z'}",2019-10-24 21:29:51,5,Some vendor delivery problems,Cachae7,seamless-local-food-delivery,381840917
True,"Uhh, this app is great. I started using it cause I thought DoorDash was too expensive. However, while trying to order Taco Bell I noticed the $4 delivery fee, service fees costing more than taxes, and that big fat tip. I find it quite ridiculous that I’m paying $36 for something that will cost me $17 to go get myself. Why would I pay more in service fees than I’m paying my own country? There should be a service fee flat rate of like $1. I also don’t see why I’m paying a delivery fee that isn’t going to the driver. It’s not like Seamless is paying for my driver’s transportation. My drivers usually come on bikes or little mopeds. I know good and well y’all are not giving them that money. And if y’all aren’t doing the delivery yourself there’s no reason you should be paid for their work. Unless you are using that money specifically for them. That goes for seamless, Taco Bell, or whoever needs to hear it. Sometimes I don’t have it on me to tip. Sometimes I don’t have the money. And the drivers are furious w that. So maybe they should be paid more? Enough so they don’t feel they’re living off of tips. Also, the Taco Bell items on Seamless are more expensive than they are on DoorDash. That’s weird!","{'id': 11997368, 'body': "" Hello Asia Shakur, Thank you for your feedback! We are working to improve the app, fee's and services daily for our customers.  Thank you."", 'modified': '2019-11-22T20:34:24Z'}",2019-11-22 20:34:24,5,All good at first,Asia Shakur,seamless-local-food-delivery,381840917
False,"I just wish seamless didn’t try to absolve themselves of any responsibility in the “help” section of the app, saying to please contact the restaurant for any issues. For future reference, once there is an issue, you better contact seamless within 24 hours to have any chance of being refunded.

It doesn’t make sense that the restaurant is going to be able to refund your credit card for non-delivered food, all the statements are linked to seamless. However I took the restaurant’s assurance that they would cancel the order on good faith. Heaven forbid you decide to wait to see if the credit card statement will clear because then you will be outside of the seamless “24 hour query” window that allows you to dispute the order.

From the press it’s clear that these services are not profitable for the restaurants. The proprietors are probably tired of having to deal with people calling them about late food and other order issues because of discrepancies in seamless’ estimated delivery times, or opening times.","{'id': 11808794, 'body': 'Hello altruisticpunisher, We really appreciate your feedback, Have an awesome day!', 'modified': '2019-11-12T23:12:17Z'}",2019-11-08 21:02:28,5,“Please contact the restaurant”,altruisticpunisher,seamless-local-food-delivery,381840917
False,"I've used Seamless many times before and it's been great, but had a terrible experience today. I decided to try out ordering at a restaurant that uses a driver. I closed my eyes for a few minutes because I had a pounding headache but left my ringer on, knowing I'd get a call once he was here. Eventually I happened to check my phone, and saw there was one notification for Seamless that said my driver had been there for a couple of minutes but would only be there for a few more because he had been contacting me and waiting. I never received ANY calls or texts, I checked my call history, and when I tried calling him via the app it said there was a ""connection problem"". It let me text him as I was running downstairs, but he never answered. It finally let me call him and he said he had already left and was ""too far away"" to come back, even though it had only been a few minutes. I tried calling Seamless customer service to get a refund, but after explaining the situation, they could only offer me a ""sorry"" and a discount on my next order because apparently in their history it said he called me. There is nothing in my call history, he never contacted me. How is this my fault? I'm very upset with Seamless and would appreciate if someone would refund my order, otherwise I will be very wary of using this company for my deliveries in the future, as I cannot trust it. Thank you.","{'id': 12324872, 'body': 'Hi, ConfusedAndJustWantedHelp! Thank you for the feedback! This is not the experience we want you to have. We recommend to reach out to us at 1-877-585-7878 for further assistance. ', 'modified': '2019-12-10T20:23:50Z'}",2019-12-06 21:42:21,1,Connection Problems,ConfusedAndJustWantedHelp,seamless-local-food-delivery,381840917
False,"Unreliable. If you want to wait 2-3 hours for cold food, this is the app for you. If you want to wait 2-3 hours to have your order cancelled at the last minute because there are no drivers on the road this is ur spot. You will starve to death messing with this app. Crazy part is Seamless won’t even tell u or message u to know or provide a map so ur aware of what’s really going with ur order. 90% of the time the restaurant has the food ready but they don’t have enough delivery workers. The other 10% of the time restaurants delivering ur food to the wrong place or not delivering it at all but having it written in as delivered. Seamless does things in the wrong order, they should do driver first, order second instead they do it the other way around and then ur food left at the restaurant and both u and them mad at seamless. DoorDash is my go to cause they have a map similar to the Uber map so you can see about how far your driver is, and they give you a small profile of ur dasher similar to the blurb on ur Uber driver. They match a driver first then let u order and if they don’t have drivers they tell u. Full transparency unlike seamless who will hide it from you. They also have very cheap delivery rates and deliver reliably.","{'id': 5980430, 'body': 'Hello Chipotbae.  I am sorry to hear that about your experience with Seamless. Please feel free to reach out to us at 877-585-1085 with any concerns you may have in regards to our service. We are always here to help you out. Thank you for reaching out to Seamless!', 'modified': '2018-11-16T21:28:35Z'}",2018-11-16 06:09:53,4,Don’t waste ur time,Chipotbae,seamless-local-food-delivery,381840917
False,"The usability on this app can be frustrating at times. Firstly I like the past orders section. However if I press on the name of restaurant it should bring me to the menu not to the last order I made. If I tap on the white card with the order details, then sure show me the last order I made. The expectation is that if I click on the name, I want to order something different from that restaurant. 
The other use case is viewing the status of my order. I have no idea how to do this. It was not appearing under My Seamless. If I tap on the gear icon I also don’t see anything related. Eventually I had to rely on my email to figure out the status. Loading into the app now I see that “Your Order has been picked up” but I never saw any intermediate status (order received, order in the works, etc). 
Additionally when I switched from delivery to pickup option, the tip section was impossible to toggle off without starting the whole process over. 
Lastly, the Restaurant tab times out so often it’s frustrating to click on. However as this could be due to a number of factors that are beyond developer control like poor connectivity, I mention it last. But it’s still important as many people I know order food on their commute home, so they aren’t on the best wifi.","{'id': 7284243, 'body': 'We appreciate you bringing this to our attention. We will be following up with the appropriate people to look into this.', 'modified': '2019-02-13T19:28:12Z'}",2019-02-11 23:52:01,2,Not that intuitive sometimes.,AmmNotJamm,seamless-local-food-delivery,381840917
False,"Seamless used to be my favorite third party app for food delivery. I would say in the past 2 years they’ve started to imitate certain fees and features that UBEREATS and DoorDash are famous for and I’m not sure why they would do that when they were one of the best in the first place. Before all the changes, only restaurants that used their own drivers were on the app. It was great because the tip went directly to the drivers and if there was an issue you could call the restaurant directly. Then they started hiring drivers themselves in order to accommodate places that normally didnt offer deliveries, but this came with tons of fees and parameters. If you ordered from KFC for example, there’d be a delivery fee, plus a service fee, small order fee, PLUS tax and tip! However, ordering from these types of places was a choice and therefore Seamless was still #1. 

I don’t know why they decided to implement more changes but it’s absolutely shameful that y’all are charging service fees for ALL restaurants even if they DONT USE YOUR DRIVERS! How money hungry of you guys! I tried to place an order yesterday with and the service fee was $3.50! That’s ridiculous and so unnecessary. Y’all didn’t do that before and now for whatever reason to compete with other apps youre forcing yourself customers to pay EXTRA MONEY FOR NO REASON!",,2020-06-23 03:13:15,1,What happened to you guys?,Jaymishelle,seamless-local-food-delivery,381840917
False,"I used to be one of seamless’s bigger customers, ordering 5-7x a week.  I’m done with them, extremely frustrated by repeated failure.  Twice in a row, seamless showed a restaurant to be open (not an odd time, like in the afternoon, for Lunch) and listed a delivery wait Time.  I ordered and received a confirmation and a delivery time from seamless.  Then, nothing happened.  No delivery, called the restaurant and there was no answer.  Here’s the weird part - no refund was ever issued unless I called Seamless to register a complaint. Just not acceptable.  Customer service gave me the lame explanation that the restaurant closed for the prior night and just didn’t turn off seamless.   Just ridiculous.   So beware.  Track your order carefully.  Even call the restaurant.  Better yet, use another service that doesn’t suffer from this amateur problem.  I use caviar now.  Done with seamless, they have lost me.","{'id': 2881365, 'body': ""Hi  Lolareiland! Oh no, we are really sorry that you've experienced such poor service. If there is anything at all that we can help resolve for you, please feel free to reach out to our customer service line and request to speak with management at 877-585-7878. Thank you for your feedback."", 'modified': '2018-03-21T00:28:03Z'}",2018-01-06 18:06:49,5,Huge flaw - beware,Lolareiland,seamless-local-food-delivery,381840917
False,"It was laughable how poorly they treated me when i brought up that they had never sent me my promo codes after multiple people used my link to order food, how do i know they actually ordered? Because it was at my home my own sisters ordered food for our get together we were excited to continue to uses seamless however I never got my end of the promotion when i reached out to see why. the fist two customer service agents left the chat midway & the third! wow was he the rudest ive possibly ever encountered he kept insisting Id need to first make a seamless purchase. I didn’t understand this since i have been using seamless since 2018 and showed him screenshots of my past orders and of my account email address which were ignored as he said “its your problem not ours” and continued to ignore me and my questions until he left the chat. I might actually reddit the transcripts because they are unbelievably rude! comically bad! 

Apparently this is a reoccurring issue (not receiving promo codes) because when I brought it up in discussion and on twitter many have had the same experience. 

I will never in the future use or suggest this app there are so many options for food deliver in New York so its no need to suffer bad customer service when something goes wrong.","{'id': 11697224, 'body': 'Hello godoftakeout, We apologize for the inconvenience. Please reach out to customer care so we can assist you at 877-585-1085 Thank you\r\n', 'modified': '2019-11-06T20:12:10Z'}",2019-11-02 04:55:40,1,WORST CUSTOMER SERVICE,godoftakeout,seamless-local-food-delivery,381840917
False,"My usage with Seamless has gone down tremendously. Their system does not allow you to update your primary contact information according to the customer service representative I spoke to. Even if you do, it doesn’t register on their end. I changed my phone number a few months ago and even though my old number was deleted and updated, every time I order from a restaurant, they still have my old number on the order receipt. The delivery person is forced to contact seamless, who then has to alert me via email (the delivery people never look at the delivery instructions to ring the buzzer for some reason). Meanwhile the delivery person is standing outside for 20 minutes, ignoring the delivery instructions to ring the doorbell. This happens every time. The customer service representative suggested I put the correct phone number in the delivery instructions, but how would that help if they don’t even look at that to begin with? Seamless needs to fix their programming issues or likely lose a lot of customers.","{'id': 10893346, 'body': 'Hi Klarface, We do sincerely apologize for these experiences. If you call us at 1-877-585-1085 to see how we can assist.', 'modified': '2019-09-25T18:13:16Z'}",2019-09-25 00:20:09,4,Many flaws,klarface,seamless-local-food-delivery,381840917
